id_p,tm,tmw,tml,aces,df,fs,wfs,wss,bps,bpw,fsp,fssp
66478,6,2,4,6,19,65,57,50,47,56,0,0
66479,7,1,6,5,66,55,57,37,48,44,0,0
66593,6,1,5,8,15,61,52,38,48,64,0,0
66594,1,0,1,0,5,61,45,13,14,25,0,0
66598,5,1,4,7,32,52,62,41,50,46,0,0
66605,3,1,2,4,18,55,66,35,50,46,0,0
66607,2,0,2,0,13,54,41,28,31,50,0,0
66615,8,3,5,9,51,53,61,42,55,50,0,0
66737,8,4,4,2,27,70,55,44,50,41,0,0
66743,24,4,20,26,70,65,53,41,47,50,0,0
66755,7,3,4,8,16,67,55,45,39,44,0,0
66758,18,9,9,17,39,68,61,49,57,45,0,0
66887,5,1,4,6,16,70,53,43,46,44,0,0
66901,25,12,13,5,42,74,54,39,50,57,0,0
66903,2,0,2,0,12,47,47,26,36,66,0,0
66905,1,0,1,0,3,66,46,31,33,50,0,0
67061,1,0,1,0,12,56,57,24,60,66,0,0
67066,7,3,4,1,36,64,51,28,41,43,0,0
67073,4,3,1,6,16,62,69,41,50,46,0,0
67078,7,2,5,5,39,54,53,37,43,47,0,0
67262,1,0,1,1,6,60,40,33,46,42,0,0
67421,4,0,4,0,18,64,43,20,28,25,0,0
67534,20,2,18,4,59,67,50,39,43,43,0,0
67635,3,2,1,4,10,67,62,45,60,48,0,0
67645,3,0,3,2,16,56,48,35,42,44,0,0
67670,2,0,2,1,11,61,44,27,40,42,0,0
67674,4,2,2,4,11,65,57,40,42,52,0,0
67681,2,1,1,0,1,78,52,50,40,41,0,0
67685,3,1,2,4,14,57,52,41,40,30,0,0
67768,2,0,2,1,14,57,41,23,38,36,0,0
67769,5,0,5,1,20,67,36,23,44,50,0,0
67781,8,2,6,2,28,55,51,37,44,47,0,0
67947,28,10,18,18,51,62,55,44,48,49,0,0
67948,3,0,3,2,6,64,50,40,40,33,0,0
67949,20,9,11,47,108,59,61,39,53,46,0,0
67954,2,0,2,0,17,60,63,22,52,33,0,0
67956,23,7,16,7,84,58,54,38,43,48,0,0
67972,6,0,6,1,32,60,36,23,31,32,0,0
67979,7,1,6,3,29,63,55,31,40,50,0,0
68108,17,6,11,27,65,54,61,44,54,51,0,0
68113,8,3,5,3,17,68,56,44,48,44,0,0
68129,9,4,5,14,39,53,58,37,42,44,0,0
68133,19,8,11,6,76,66,54,39,51,50,0,0
68293,36,5,31,73,220,58,55,35,42,39,0,0
68422,1,0,1,0,4,72,34,41,50,28,0,0
68425,7,1,6,2,22,57,52,45,52,42,0,0
68441,5,3,2,17,23,54,69,42,51,45,0,0
68451,9,5,4,1,11,73,52,42,56,50,0,0
68452,4,1,3,0,20,67,44,23,35,37,0,0
68454,13,7,6,11,21,71,56,44,45,58,0,0
68457,4,0,4,1,19,54,36,29,30,9,0,0
68607,1,0,1,1,4,52,50,31,62,100,0,0
68611,12,3,9,3,100,59,54,33,42,47,0,0
68632,4,0,4,0,11,64,49,44,52,53,0,0
68634,29,10,19,25,178,62,57,40,48,42,0,0
68755,11,4,7,17,97,53,59,34,44,61,0,0
68925,18,6,12,10,59,69,52,41,44,46,0,0
68927,1,0,1,0,10,49,60,41,50,14,0,0
68930,39,11,28,33,149,64,53,38,47,45,0,0
68938,1,0,1,0,3,50,42,36,28,0,0,0
68944,2,0,2,0,6,63,38,36,40,45,0,0
68945,1,0,1,0,8,55,54,26,36,50,0,0
68946,5,3,2,1,11,75,54,43,48,51,0,0
68948,7,4,3,8,31,61,60,45,56,52,0,0
