match_id,match_timestamp,p1_name,p2_name,p1_avg_1st_sv_speed,p2_avg_1st_sv_speed,p1_avg_2nd_sv_speed,p2_avg_2nd_sv_speed,p1_winners,p2_winners,p1_unforced_errors,p2_unforced_errors,p1_net_points_won,p2_net_points_won,p1_net_points_played,p2_net_points_played,data_added_timestamp
UkVL5kZj,1755691800,Paul J.,Bicknell B.,,,,,,,,,,,,,1756078814.685274
pWnswPA7,1755715500,Kolar Z.,Barton H.,,,,,,,,,,,,,1756078810.933142
8roM6yJi,1755710100,Squire H.,Montes-De La Torre I.,,,,,,,,,,,,,1756078807.279067
t6Y5Qb7t,1755705600,Stebe C.,Gadamauri B.,,,,,,,,,,,,,1756078803.824184
KrjDRlo4,1755704700,Popovic S.,Negritu Ch.,,,,,,,,,,,,,1756078800.344237
KSuWiX3c,1755697200,Sanchez Izquierdo N.,Dedura D.,,,,,,,,,,,,,1756078796.658178
CK9fEPhc,1755696900,Cerny M.,Paroulek T.,,,,,,,,,,,,,1756078792.970418
MTZjS7dk,1755696900,Bailly G. A.,Sanchez Martinez B.,,,,,,,,,,,,,1756078789.081091
Cfjv4Npd,1755740100,Diallo G.,Medjedovic H.,,,,,,,,,,,,,1756078777.202672
nFRB1F67,1755737700,Mpetshi Perricard G.,Muller A.,,,,,,,,,,,,,1756078773.514579
KvACJmSh,1755736200,Bautista-Agut R.,Fucsovics M.,,,,,,,,,,,,,1756078769.634983
OS4J0NDa,1755731400,Majchrzak K.,Korda S.,,,,,,,,,,,,,1756078766.141953
boaS2WGt,1755731400,Kecmanovic M.,Darderi L.,,,,,,,,,,,,,1756078762.396631
6ooIbtRE,1755671700,Sonego L.,Dostanic S.,,,,,,,,,,,,,1756078758.973139
f1pBr1NE,1755665400,Tsitsipas S.,Bu Y.,,,,,,,,,,,,,1756078755.290971
KKRfynTj,1755660300,Bellucci M.,Munar J.,,,,,,,,,,,,,1756078751.819116
tO1k8Ko2,1755659400,Baez S.,Carreno-Busta P.,,,,,,,,,,,,,1756078748.323529
UqQpRvil,1755659100,Van De Zandschulp B.,Arnaldi M.,,,,,,,,,,,,,1756078744.842757
2ekT083e,1755661500,Zink T.,Sakamoto R.,,,,,,,,,,,,,1756078741.167278
nqPWKTfR,1755661500,Neumayer L.,Buse I.,,,,,,,,,,,,,1756078737.673478
niulkH3j,1755661200,Blockx A.,Reis Da Silva J.,,,,,,,,,,,,,1756078733.988901
AsUBBPHD,1755660300,Hassan B.,Barrios Vera T.,,,,,,,,,,,,,1756078730.505555
OYy2dvfJ,1755660300,Damm M.,Travaglia S.,,,,,,,,,,,,,1756078726.410642
W08WQ1MO,1755659700,Barrena A.,Coppejans K.,,,,,,,,,,,,,1756078722.826748
xGQVUhHr,1755658200,Droguet T.,Kachmazov A.,,,,,,,,,,,,,1756078719.243654
rZGuNbKc,1755656100,Svrcina D.,Merida Aguilar D.,,,,,,,,,,,,,1756078715.76062
bLFcoEjI,1755633600,Serdarusic N.,Nedic A.,,,,,,,,,,,,,1755648458.11165
WYD5qhLU,1755631200,Molcan A.,Ivanov I.,,,,,,,,,,,,,1755648454.632327
fTItkdig,1755619200,Midon L.,Agamenone F.,,,,,,,,,,,,,1755648451.15347
pIkOWEyP,1755618000,Roncadelli F.,Kuzmanov D.,,,,,,,,,,,,,1755648447.46666
YDUXjIMt,1755616200,Bondioli F.,Karol M.,,,,,,,,,,,,,1755648442.962995
